"algorithm","background_max","best_loss","contrast","error","field_evaluations","final_loss","optimization_seconds","status","target_mean","termination_reason","time_budget_seconds","vjp_evaluations"
"geometric","1870.1748399181415","1788.4247607352681","0.3055355722556116","","1","1788.4247607352681","30.123497999971732","completed","571.4049399324363","analytic","60.0","0"
"response_alignment","1969.7113598638289","-1220.6754181394758","1.88330195419019","","1","-1220.6754181394758","0.057351999974343926","completed","3709.5612532221658","analytic","60.0","0"
"adjoint","1200.9030494541769","-1872.539319792074","2.814481730325107","","1701","-1872.539319792074","12.541067700018175","completed","3379.919692580489","converged","60.0","1701"
"gabs","1311.319286116027","-1592.5177240075368","2.4675176635858573","","11521","-1592.5177240075368","44.79824239999289","completed","3235.703501092093","iteration_limit","60.0","0"
"spsa","1365.4877239011955","-158.06253409623446","1.363655629806518","","14322","246.82922815786105","60.00833059998695","completed","1862.0550221295537","time_budget","60.0","0"
"cmaes","1249.2792432844212","-1779.3613093287292","2.6742607304757646","","12110","-1779.3613093287292","60.00560169998789","completed","3340.898421714007","time_budget","60.0","0"
"lshade","1303.4551256916852","-1660.8686851085677","2.52824513287664","","14142","-1660.8686851085677","60.003933599975426","completed","3295.4540774531124","time_budget","60.0","0"
"sac","1456.4154748985395","1149.2942049665203","0.4616175805130812","","725","1149.2942049665203","60.19248620001599","completed","672.306987744474","training_time_budget","60.0","0"
"ppo","1363.0152397889094","981.0257122508489","0.5282711479336396","","8482","1623.7147865659106","50.802624200005084","completed","720.0416253743323","training_steps","60.0","0"
