base,compare,base_key,compare_key,relative_l2,symmetric_relative_l2,mean_absolute_difference_pa,max_absolute_difference_pa,spatial_correlation
Plate,Sphere,plate,sphere,0.1989952372324774,0.20339347591114904,58.53944791401974,244.84694187767707,0.9313878201076021
Plate,Hand,plate,hand,0.9010604434562549,2.50873226190958,281.81606381518606,774.5991262195776,0.2674076217536689
Sphere,Hand,sphere,hand,0.8930136137802633,2.4325632070833736,276.6320602626362,657.8507643376826,0.3055630776597556
