model,dimensions_mm,left_center_x_mm,right_center_x_mm,displacement_mm,top_peak_left_pa,top_peak_right_pa,mean_absolute_difference_pa,rms_difference_pa,max_absolute_difference_pa,relative_l2_difference,spatial_correlation,all_emitter_phases_rad
Plate,22.0 x 22.0 x 3.0,48.5,51.5,2.9999999999999956,787.046039146418,787.0460391464867,34.413229216823794,50.91453996282269,207.35623122446077,0.13281353521174394,0.9699184226841328,0.0
Sphere,20.0 x 20.0 x 20.0,48.5,51.5,2.9999999999999956,695.3044902425189,695.3044977592031,35.905960299522,48.84440377381062,211.95825983566098,0.1331079509092327,0.9647819287535377,0.0
Hand,49.8 x 20.0 x 15.4,48.5,51.5,2.9999999999999956,156.83150422211128,178.12403921263837,25.47144520209795,32.89920540862131,117.503692772431,0.6652527861437144,0.23761306531651927,0.0
