-9.438255008e+00,-1.376723819e+01,-2.514492011e+01,-2.789652774e+01,-1.557960985e+01,-2.420763071e+00,5.857303235e+00,4.236607813e+00,-7.672946716e+00,-1.986957134e+01,-2.401047347e+01,-2.188791422e+01,-2.187170361e+01,-2.726535778e+01,-3.235319434e+01,-3.227057444e+01,-2.672006482e+01,-1.881880035e+01,-1.542111555e+01,-1.999361207e+01,-2.379577602e+01,-2.410374497e+01,-2.110299388e+01,-1.566050794e+01,-9.026591442e+00,-5.714954908e+00,-9.681475724e+00,-1.451003930e+01,-1.380780092e+01,-7.899317174e+00,-7.656790398e-01,5.815410495e+00,1.218949628e+01,1.799223740e+01,2.097234311e+01,1.885924871e+01,1.180213590e+01,2.981304666e+00,-3.360040015e+00,-5.250333958e+00,-3.826428622e+00,-8.443883169e-01,3.210837562e+00,7.615049551e+00,8.281263458e+00,-4.127694166e-01,-1.423506474e+01,-2.619520906e+01,-3.217966786e+01,-3.077762609e+01,-2.431933096e+01,-1.915397706e+01,-2.130917936e+01,-2.479150795e+01,-2.380238265e+01,-1.793136398e+01,-1.011549437e+01,-6.523291761e+00,-1.244570642e+01,-2.317158854e+01,-2.575297031e+01,-1.487689578e+01,-7.616926068e+00,-1.165054153e+01,-2.187892509e+01,-3.068971342e+01,-3.256376119e+01,-2.707853492e+01,-1.899336898e+01,-1.302107638e+01
-1.376723819e+01,-2.008176799e+01,-3.667797745e+01,-4.069164709e+01,-2.272540839e+01,-3.531078760e+00,8.543834501e+00,6.179785227e+00,-1.119224740e+01,-2.898301869e+01,-3.502320153e+01,-3.192710180e+01,-3.190345598e+01,-3.977098250e+01,-4.719242404e+01,-4.707190941e+01,-3.897558356e+01,-2.745029739e+01,-2.249421854e+01,-2.916395238e+01,-3.471003019e+01,-3.515925326e+01,-3.078216715e+01,-2.284341150e+01,-1.316675956e+01,-8.336196191e+00,-1.412201537e+01,-2.116526487e+01,-2.014093536e+01,-1.152244572e+01,-1.116868076e+00,8.482727090e+00,1.778037343e+01,2.624462017e+01,3.059159162e+01,2.750929793e+01,1.721534499e+01,4.348720330e+00,-4.901167764e+00,-7.658470564e+00,-5.581471807e+00,-1.231678427e+00,4.683531591e+00,1.110779491e+01,1.207957683e+01,-6.020916863e-01,-2.076416952e+01,-3.820999561e+01,-4.693930730e+01,-4.489420013e+01,-3.547372068e+01,-2.793920742e+01,-3.108292238e+01,-3.616246803e+01,-3.471966704e+01,-2.615582633e+01,-1.475510253e+01,-9.515287662e+00,-1.815409782e+01,-3.379955070e+01,-3.756491809e+01,-2.170038503e+01,-1.111053212e+01,-1.699421981e+01,-3.191398968e+01,-4.476596512e+01,-4.749957022e+01,-3.949847081e+01,-2.770493428e+01,-1.899336898e+01
-1.987173920e+01,-2.898618087e+01,-5.238560200e+01,-5.804830474e+01,-3.449569009e+01,-1.155837134e+01,-3.151132251e+00,-1.664715936e+01,-4.399277858e+01,-6.658527738e+01,-6.975904460e+01,-5.539081459e+01,-3.914453208e+01,-3.395465553e+01,-3.433954658e+01,-2.753656332e+01,-1.094171047e+01,1.035276722e+01,-4.066914100e+00,-3.701667247e+01,-5.432832949e+01,-5.894185811e+01,-5.668907394e+01,-5.211930074e+01,-4.968207461e+01,-5.429720921e+01,-6.533661370e+01,-7.027894779e+01,-6.123330537e+01,-4.378528364e+01,-2.571997449e+01,-1.065652104e+01,2.944865427e+00,1.643164730e+01,2.551747467e+01,2.395188073e+01,1.068444796e+01,-8.499659271e+00,-2.522880833e+01,-3.533290405e+01,-3.992628777e+01,-4.046516966e+01,-3.656097980e+01,-2.880663507e+01,-2.201417990e+01,-2.466374274e+01,-3.916798358e+01,-5.654694861e+01,-6.601667587e+01,-6.086852713e+01,-4.126277364e+01,-1.487484759e+01,-6.840710795e+00,-1.936751194e+01,-1.975411741e+01,-1.115256514e+01,-2.364721859e+00,-8.836778229e+00,-3.519628995e+01,-6.656892420e+01,-8.068176487e+01,-6.020997001e+01,-4.028858307e+01,-3.630479768e+01,-4.771891824e+01,-6.227940726e+01,-6.702118582e+01,-5.550839426e+01,-3.861710804e+01,-2.647430868e+01
-2.281622253e+01,-3.328119125e+01,-5.882859672e+01,-7.038284511e+01,-5.313862669e+01,-3.921689772e+01,-4.304635757e+01,-6.626208410e+01,-9.767767015e+01,-1.196791237e+02,-1.167754984e+02,-8.977649844e+01,-5.495100840e+01,-2.507391734e+01,-5.967557520e+00,-2.354972802e+00,-1.549777101e+01,-3.936154614e+01,-6.972395314e+01,-9.853624009e+01,-1.144675152e+02,-1.179069285e+02,-1.173821743e+02,-1.121359980e+02,-1.013898085e+02,-1.071018855e+02,-1.235150479e+02,-1.332901349e+02,-1.235593226e+02,-1.039097061e+02,-8.423527036e+01,-6.934839305e+01,-5.295168094e+01,-2.857060298e+01,-1.249492668e+01,-8.623796140e+00,-1.702880367e+01,-3.700323451e+01,-6.210986767e+01,-8.437345308e+01,-1.000711249e+02,-1.089990094e+02,-1.102993339e+02,-1.039574138e+02,-9.361124299e+01,-8.677892632e+01,-9.020624501e+01,-1.023109831e+02,-1.129887653e+02,-1.105462674e+02,-9.251323802e+01,-6.745866574e+01,-4.329916663e+01,-1.914161047e+01,7.756497918e+00,2.238389787e+01,1.449815765e+01,-1.572535868e+01,-6.147910144e+01,-1.082966223e+02,-1.359166406e+02,-1.178630424e+02,-9.228018336e+01,-7.697301604e+01,-7.475117926e+01,-7.807704650e+01,-7.390891625e+01,-5.961784411e+01,-4.100154832e+01,-2.810898334e+01
-2.200566280e+01,-3.209885735e+01,-5.648359126e+01,-7.722230358e+01,-7.847966349e+01,-8.186174377e+01,-9.693665281e+01,-1.229841153e+02,-1.516490818e+02,-1.691944881e+02,-1.617537021e+02,-1.306623827e+02,-9.667710182e+01,-7.871043249e+01,-8.310109603e+01,-1.010928337e+02,-1.251415403e+02,-1.516227097e+02,-1.767006027e+02,-1.949907883e+02,-2.012062483e+02,-1.945787675e+02,-1.709330376e+02,-1.446156072e+02,-1.324921765e+02,-1.398396971e+02,-1.590602642e+02,-1.752887446e+02,-1.777678525e+02,-1.673379015e+02,-1.476341440e+02,-1.129619775e+02,-7.562091577e+01,-4.846630033e+01,-3.587332732e+01,-3.646446688e+01,-4.870907135e+01,-7.219349496e+01,-1.037122719e+02,-1.362681398e+02,-1.619277739e+02,-1.772866550e+02,-1.824281241e+02,-1.788810460e+02,-1.705080026e+02,-1.614783518e+02,-1.588502657e+02,-1.687608870e+02,-1.845638894e+02,-1.894893979e+02,-1.780290083e+02,-1.568665816e+02,-1.318792499e+02,-1.049440274e+02,-7.499678880e+01,-4.584496201e+01,-3.335285998e+01,-5.319605829e+01,-9.896134495e+01,-1.504306463e+02,-1.837764501e+02,-1.725057855e+02,-1.482809695e+02,-1.270518599e+02,-1.103896102e+02,-9.368176122e+01,-7.347686261e+01,-5.333560680e+01,-3.538447430e+01,-2.425814730e+01
-1.941271267e+01,-2.831661562e+01,-5.212924849e+01,-8.329119678e+01,-1.040842899e+02,-1.219058283e+02,-1.414339339e+02,-1.634575003e+02,-1.847259933e+02,-1.966055866e+02,-1.889431894e+02,-1.648494399e+02,-1.481475136e+02,-1.542551583e+02,-1.784747030e+02,-2.085748324e+02,-2.368991205e+02,-2.606167578e+02,-2.770495317e+02,-2.819569653e+02,-2.705642453e+02,-2.407237462e+02,-2.015251586e+02,-1.678612297e+02,-1.526197555e+02,-1.602554788e+02,-1.834554280e+02,-2.078911899e+02,-2.216169929e+02,-2.175373599e+02,-1.839545296e+02,-1.378227374e+02,-9.838831867e+01,-7.438129293e+01,-6.766323975e+01,-7.537663288e+01,-9.393474626e+01,-1.208025965e+02,-1.536093423e+02,-1.882008394e+02,-2.156398061e+02,-2.276412934e+02,-2.254569583e+02,-2.150695831e+02,-2.052399000e+02,-2.044257372e+02,-2.129861409e+02,-2.271005666e+02,-2.523237565e+02,-2.661916941e+02,-2.633173556e+02,-2.484062540e+02,-2.261453607e+02,-1.997109458e+02,-1.699681198e+02,-1.381660414e+02,-1.127078393e+02,-1.105298638e+02,-1.386865006e+02,-1.809898882e+02,-2.100326092e+02,-2.056839705e+02,-1.899992085e+02,-1.707140650e+02,-1.451484024e+02,-1.098682747e+02,-7.204815478e+01,-4.329654990e+01,-2.609642956e+01,-1.789064398e+01
-1.661419396e+01,-2.423451849e+01,-5.033227715e+01,-8.865128103e+01,-1.207748025e+02,-1.453240354e+02,-1.632389596e+02,-1.774954820e+02,-1.896373700e+02,-1.962965412e+02,-1.925265468e+02,-1.829700907e+02,-1.883665105e+02,-2.161318000e+02,-2.550651037e+02,-2.911001861e+02,-3.170423919e+02,-3.324017262e+02,-3.369330095e+02,-3.271963264e+02,-2.987763236e+02,-2.546961430e+02,-2.074097072e+02,-1.704505235e+02,-1.554257662e+02,-1.663749200e+02,-1.964205071e+02,-2.315400539e+02,-2.582931439e+02,-2.615473769e+02,-2.203939821e+02,-1.753247942e+02,-1.402408810e+02,-1.214587441e+02,-1.191055478e+02,-1.285457917e+02,-1.432028459e+02,-1.603276472e+02,-1.839379359e+02,-2.147988142e+02,-2.440294467e+02,-2.558927792e+02,-2.454574426e+02,-2.249340711e+02,-2.082516388e+02,-2.061618482e+02,-2.227791655e+02,-2.532678295e+02,-2.840107935e+02,-3.079632735e+02,-3.176022937e+02,-3.135833564e+02,-2.997272535e+02,-2.789946426e+02,-2.517857791e+02,-2.183276732e+02,-1.839072092e+02,-1.617137453e+02,-1.648915656e+02,-1.888030653e+02,-2.099502044e+02,-2.136006600e+02,-2.108447157e+02,-2.000973282e+02,-1.727730130e+02,-1.270786201e+02,-7.679599966e+01,-3.798655655e+01,-1.828569524e+01,-1.253592422e+01
-1.246992788e+01,-1.818942879e+01,-4.806580413e+01,-9.159087899e+01,-1.297425734e+02,-1.552843672e+02,-1.682500273e+02,-1.734596438e+02,-1.761954038e+02,-1.781191718e+02,-1.798553858e+02,-1.856006191e+02,-2.145334017e+02,-2.606477920e+02,-3.074710837e+02,-3.412853380e+02,-3.575600697e+02,-3.600328455e+02,-3.519004101e+02,-3.306243272e+02,-2.913975565e+02,-2.390363579e+02,-1.892675585e+02,-1.568845297e+02,-1.506081639e+02,-1.707916921e+02,-2.099563451e+02,-2.545935432e+02,-2.895514059e+02,-2.909124494e+02,-2.571982087e+02,-2.229703916e+02,-1.967765370e+02,-1.820228374e+02,-1.756562956e+02,-1.716769252e+02,-1.707303637e+02,-1.789343748e+02,-1.995427792e+02,-2.293520762e+02,-2.580583954e+02,-2.702074945e+02,-2.566321827e+02,-2.287114674e+02,-2.037673130e+02,-1.942604942e+02,-2.067613515e+02,-2.370738877e+02,-2.679095764e+02,-2.995754038e+02,-3.223275504e+02,-3.324865325e+02,-3.326661711e+02,-3.246365845e+02,-3.062133987e+02,-2.747708299e+02,-2.334639320e+02,-1.934099157e+02,-1.697382786e+02,-1.698596921e+02,-1.845162800e+02,-2.011483337e+02,-2.150600503e+02,-2.166848410e+02,-1.919020855e+02,-1.461385820e+02,-9.212500889e+01,-4.528281474e+01,-1.819868205e+01,-1.247627155e+01
-1.116076491e+01,-1.627980053e+01,-5.050871851e+01,-9.897139859e+01,-1.395365474e+02,-1.627178904e+02,-1.695118564e+02,-1.661492276e+02,-1.603968722e+02,-1.582456282e+02,-1.623064090e+02,-1.888222818e+02,-2.385845009e+02,-2.947514000e+02,-3.410008666e+02,-3.658990329e+02,-3.684291231e+02,-3.571541656e+02,-3.390825651e+02,-3.123496712e+02,-2.695699189e+02,-2.161436129e+02,-1.742824109e+02,-1.599334465e+02,-1.719836923e+02,-2.030199988e+02,-2.466735055e+02,-2.912458735e+02,-3.161645881e+02,-3.110463718e+02,-2.939163154e+02,-2.751017173e+02,-2.556715001e+02,-2.336766752e+02,-2.141566432e+02,-2.022786619e+02,-2.010428512e+02,-2.124982255e+02,-2.359473211e+02,-2.661055641e+02,-2.924375320e+02,-3.002947370e+02,-2.819677720e+02,-2.494865369e+02,-2.189152869e+02,-1.998675629e+02,-1.983222881e+02,-2.166919750e+02,-2.393562607e+02,-2.667717719e+02,-2.917419695e+02,-3.093533792e+02,-3.218787102e+02,-3.304780991e+02,-3.298075805e+02,-3.118187400e+02,-2.744679634e+02,-2.249792685e+02,-1.762592121e+02,-1.445300935e+02,-1.416320490e+02,-1.611761051e+02,-1.887533627e+02,-2.072238975e+02,-1.988504975e+02,-1.642267985e+02,-1.146514163e+02,-6.446259614e+01,-2.911234863e+01,-1.995823466e+01
-1.397115735e+01,-2.037921742e+01,-5.792814811e+01,-1.090380747e+02,-1.495526071e+02,-1.696731093e+02,-1.718249313e+02,-1.626940317e+02,-1.509884725e+02,-1.457174950e+02,-1.637208282e+02,-2.104743918e+02,-2.699054477e+02,-3.246346019e+02,-3.619859186e+02,-3.748947527e+02,-3.649630491e+02,-3.438450744e+02,-3.220232257e+02,-2.989169827e+02,-2.620984042e+02,-2.198399444e+02,-2.026986906e+02,-2.172116628e+02,-2.471604402e+02,-2.810853813e+02,-3.162434804e+02,-3.424418728e+02,-3.481541233e+02,-3.417531653e+02,-3.322871494e+02,-3.229017377e+02,-3.016958701e+02,-2.728890324e+02,-2.535841648e+02,-2.448285120e+02,-2.469924213e+02,-2.619610820e+02,-2.890570018e+02,-3.226697557e+02,-3.521938611e+02,-3.583961513e+02,-3.349579916e+02,-3.019113712e+02,-2.719495446e+02,-2.488224016e+02,-2.333238431e+02,-2.312501817e+02,-2.363380842e+02,-2.469853386e+02,-2.620350879e+02,-2.752616754e+02,-2.899195017e+02,-3.092123874e+02,-3.277673911e+02,-3.333215166e+02,-3.154217725e+02,-2.700992892e+02,-2.014397740e+02,-1.403452552e+02,-1.165106176e+02,-1.310334720e+02,-1.640978776e+02,-1.924396577e+02,-1.970677580e+02,-1.740293432e+02,-1.327046239e+02,-8.450243553e+01,-4.280228058e+01,-2.934349167e+01
