background_max,best_loss,contrast,error,field_evaluations,final_loss,optimization_seconds,optimizer,status,target_mean,termination_reason,vjp_evaluations
1221.2543532399993,-1593.4981302459566,2.558592366007334,,306,-1593.4981302459566,120.58892300003208,lbfgsb,completed,3124.692065153087,time_budget,306
1217.4064004094423,-1858.7935161884045,2.783298392908269,,306,-1858.7935161884045,120.70273799996357,adam,completed,3388.405277775841,time_budget,306
1215.7665165056603,-1859.9631741598275,2.7859834627934643,,347,-1859.9631741598275,120.96752980002202,adamw,completed,3387.105409602787,time_budget,347
1230.6550903525733,-1854.3251677129615,2.7580265547138616,,337,-1854.3251677129615,120.83568839996587,lion,completed,3394.1794188861836,time_budget,337
1253.3107152036414,-1703.4199241087504,2.6112296397334753,,275,-1703.4199241087504,120.7400741999736,nonlinear_cg,completed,3272.682087335309,time_budget,275
